X,Y,scalerank,labelrank,sovereignt,sov_a3,adm0_dif,level,type,admin,adm0_a3,geou_dif,geounit,gu_a3,su_dif,subunit,su_a3,brk_diff,name,name_long,brk_a3,brk_name,brk_group,abbrev,postal,formal_en,formal_fr,note_adm0,note_brk,name_sort,name_alt,mapcolor7,mapcolor8,mapcolor9,mapcolor13,pop_est,gdp_md_est,pop_year,lastcensus,gdp_year,economy,income_grp,wikipedia,fips_10,iso_a2,iso_a3,iso_n3,un_a3,wb_a2,wb_a3,woe_id,adm0_a3_is,adm0_a3_us,adm0_a3_un,adm0_a3_wb,continent,region_un,subregion,region_wb,name_len,long_len,abbrev_len,tiny,homepart,featureclass
-69.9753580729167,12.5133626302083,"3","5",Netherlands,NL1,"1","2",Country,Aruba,ABW,"0",Aruba,ABW,"0",Aruba,ABW,"0",Aruba,Aruba,ABW,Aruba,,Aruba,AW,Aruba,,Neth.,,Aruba,,"4","2","2","9","103065",2258,"-99","2010","-99",6. Developing region,2. High income: nonOECD,"-99",,AW,ABW,"533","533",AW,ABW,"-99",ABW,ABW,"-99","-99",North America,Americas,Caribbean,Latin America & Caribbean,"5","5","5","4","-99",Admin-0 country
67.5666392878973,34.9353840349939,"1","3",Afghanistan,AFG,"0","2",Sovereign country,Afghanistan,AFG,"0",Afghanistan,AFG,"0",Afghanistan,AFG,"0",Afghanistan,Afghanistan,AFG,Afghanistan,,Afg.,AF,Islamic State of Afghanistan,,,,Afghanistan,,"5","6","8","7","28400000",22270,"-99","1979","-99",7. Least developed region,5. Low income,"-99",,AF,AFG,"004","004",AF,AFG,"-99",AFG,AFG,"-99","-99",Asia,Asia,Southern Asia,South Asia,"11","11","4","-99","1",Admin-0 country
18.1039952992585,-11.6614830169491,"1","3",Angola,AGO,"0","2",Sovereign country,Angola,AGO,"0",Angola,AGO,"0",Angola,AGO,"0",Angola,Angola,AGO,Angola,,Ang.,AO,People's Republic of Angola,,,,Angola,,"3","2","6","1","12799293",110300,"-99","1970","-99",7. Least developed region,3. Upper middle income,"-99",,AO,AGO,"024","024",AO,AGO,"-99",AGO,AGO,"-99","-99",Africa,Africa,Middle Africa,Sub-Saharan Africa,"6","6","4","-99","1",Admin-0 country
-63.064033203125,18.225595703125,"1","6",United Kingdom,GB1,"1","2",Dependency,Anguilla,AIA,"0",Anguilla,AIA,"0",Anguilla,AIA,"0",Anguilla,Anguilla,AIA,Anguilla,,Ang.,AI,,,U.K.,,Anguilla,,"6","6","6","3","14436",108.9,"-99","-99","-99",6. Developing region,3. Upper middle income,"-99",,AI,AIA,"660","660","-99","-99","-99",AIA,AIA,"-99","-99",North America,Americas,Caribbean,Latin America & Caribbean,"8","8","4","-99","-99",Admin-0 country
20.1096557617188,41.0841360909598,"1","6",Albania,ALB,"0","2",Sovereign country,Albania,ALB,"0",Albania,ALB,"0",Albania,ALB,"0",Albania,Albania,ALB,Albania,,Alb.,AL,Republic of Albania,,,,Albania,,"1","4","1","6","3639453",21810,"-99","2001","-99",6. Developing region,4. Lower middle income,"-99",,AL,ALB,"008","008",AL,ALB,"-99",ALB,ALB,"-99","-99",Europe,Europe,Southern Europe,Europe & Central Asia,"7","7","4","-99","1",Admin-0 country
19.9529580393146,60.2640325730847,"3","6",Finland,FI1,"1","2",Country,Aland,ALD,"0",Aland,ALD,"0",Aland,ALD,"0",Aland,Aland Islands,ALD,Aland,,Aland,AI,Åland Islands,,Fin.,,Aland,,"4","1","4","6","27153",1563,"-99","-99","-99",2. Developed region: nonG7,1. High income: OECD,"-99",,AX,ALA,"248","248","-99","-99","-99",ALA,ALD,"-99","-99",Europe,Europe,Northern Europe,Europe & Central Asia,"5","13","5","5","-99",Admin-0 country
1.55531141493057,42.5314453125,"3","6",Andorra,AND,"0","2",Sovereign country,Andorra,AND,"0",Andorra,AND,"0",Andorra,AND,"0",Andorra,Andorra,AND,Andorra,,And.,AND,Principality of Andorra,,,,Andorra,,"1","4","1","8","83888",3660,"-99","1989","-99",2. Developed region: nonG7,2. High income: nonOECD,"-99",,AD,AND,"020","020",AD,ADO,"-99",AND,AND,"-99","-99",Europe,Europe,Southern Europe,Europe & Central Asia,"7","7","4","5","1",Admin-0 country
54.5570144127155,24.2274838017241,"1","4",United Arab Emirates,ARE,"0","2",Sovereign country,United Arab Emirates,ARE,"0",United Arab Emirates,ARE,"0",United Arab Emirates,ARE,"0",United Arab Emirates,United Arab Emirates,ARE,United Arab Emirates,,U.A.E.,AE,United Arab Emirates,,,,United Arab Emirates,,"2","1","3","3","4798491",184300,"-99","2010","-99",6. Developing region,2. High income: nonOECD,"-99",,AE,ARE,"784","784",AE,ARE,"-99",ARE,ARE,"-99","-99",Asia,Asia,Western Asia,Middle East & North Africa,"20","20","6","-99","1",Admin-0 country
-65.3987848688852,-36.2376517169369,"1","2",Argentina,ARG,"0","2",Sovereign country,Argentina,ARG,"0",Argentina,ARG,"0",Argentina,ARG,"0",Argentina,Argentina,ARG,Argentina,,Arg.,AR,Argentine Republic,,,,Argentina,,"3","1","3","13","40913584",573900,"-99","2010","-99",5. Emerging region: G20,3. Upper middle income,"-99",,AR,ARG,"032","032",AR,ARG,"-99",ARG,ARG,"-99","-99",South America,Americas,South America,Latin America & Caribbean,"9","9","4","-99","1",Admin-0 country
45.2087273092831,40.1896724925322,"1","6",Armenia,ARM,"0","2",Sovereign country,Armenia,ARM,"0",Armenia,ARM,"0",Armenia,ARM,"0",Armenia,Armenia,ARM,Armenia,,Arm.,ARM,Republic of Armenia,,,,Armenia,,"3","1","2","10","2967004",18770,"-99","2001","-99",6. Developing region,4. Lower middle income,"-99",,AM,ARM,"051","051",AM,ARM,"-99",ARM,ARM,"-99","-99",Asia,Asia,Western Asia,Europe & Central Asia,"7","7","4","-99","1",Admin-0 country
-170.704945591518,-14.30078125,"3","4",United States of America,US1,"1","2",Dependency,American Samoa,ASM,"0",American Samoa,ASM,"0",American Samoa,ASM,"0",American Samoa,American Samoa,ASM,American Samoa,,Am. Samoa,AS,American Samoa,,U.S.A.,,American Samoa,,"4","5","1","1","65628",575.3,"-99","2010","-99",6. Developing region,3. Upper middle income,"-99",,AS,ASM,"016","016",AS,ASM,"-99",ASM,ASM,"-99","-99",Oceania,Oceania,Polynesia,East Asia & Pacific,"14","14","9","3","-99",Admin-0 country
-8.14497950377807,-74.7392498156098,"1","4",Antarctica,ATA,"0","2",Indeterminate,Antarctica,ATA,"0",Antarctica,ATA,"0",Antarctica,ATA,"0",Antarctica,Antarctica,ATA,Antarctica,,Ant.,AQ,,,,Multiple claims held in abeyance,Antarctica,,"4","5","1","-99","3802",760.4,"-99","-99","-99",6. Developing region,2. High income: nonOECD,"-99",,AQ,ATA,"010","-099","-99","-99","-99",ATA,ATA,"-99","-99",Antarctica,Antarctica,Antarctica,Antarctica,"10","10","4","-99","1",Admin-0 country
69.567066924426,-49.2857999330357,"3","6",France,FR1,"1","2",Dependency,French Southern and Antarctic Lands,ATF,"0",French Southern and Antarctic Lands,ATF,"0",French Southern and Antarctic Lands,ATF,"0",Fr. S. Antarctic Lands,French Southern and Antarctic Lands,ATF,Fr. S. and Antarctic Lands,,Fr. S.A.L.,TF,Territory of the French Southern and Antarctic Lands,,Fr.,,French Southern and Antarctic Lands,,"7","5","9","11","140",16,"-99","-99","-99",6. Developing region,2. High income: nonOECD,"-99",,TF,ATF,"260","-099","-99","-99","-99",ATF,ATF,"-99","-99",Seven seas (open ocean),Seven seas (open ocean),Seven seas (open ocean),Sub-Saharan Africa,"22","35","10","2","-99",Admin-0 country
-61.765869140625,17.0762251420455,"1","6",Antigua and Barbuda,ATG,"0","2",Sovereign country,Antigua and Barbuda,ATG,"0",Antigua and Barbuda,ATG,"0",Antigua and Barbuda,ATG,"0",Antigua and Barb.,Antigua and Barbuda,ATG,Antigua and Barb.,,Ant.B.,AG,Antigua and Barbuda,,,,Antigua and Barbuda,,"2","2","5","5","85632",1657,"-99","2011","-99",6. Developing region,3. Upper middle income,"-99",,AG,ATG,"028","028",AG,ATG,"-99",ATG,ATG,"-99","-99",North America,Americas,Caribbean,Latin America & Caribbean,"17","19","6","4","1",Admin-0 country
