origin,dest,count
SRB,CZE,23275
SRB,DEU,3113920
SRB,NLD,154624
SRB,TUR,96130089
SRB,ITA,634621
SRB,BEL,23555
SRB,BIH,230485
SRB,HRV,533240
SRB,HUN,608200
SRB,POL,472370
SRB,ROM,6168560
SRB,SVN,34695080
SRB,ALB,46474580
SRB,AUT,25000
SRB,BGR,26488169
SRB,MNE,1769366
SRB,GRC,7068322
SRB,MKD,75689596
CZE,FRA,3300868
CZE,DEU,856821251
CZE,JPN,2254385
CZE,KOR,80920320
CZE,ESP,193840
CZE,CHE,3075
CZE,USA,1
CZE,NLD,11094101
CZE,ARE,21371
CZE,CHN,3365009
CZE,HKG,2654
CZE,ITA,326235527
CZE,BEL,7283547
CZE,HRV,89064
CZE,HUN,892778
CZE,POL,299013158
CZE,IND,88060
CZE,SVK,70978457
CZE,SVN,73520086
CZE,SWE,1191958
CZE,GBR,60302
CZE,MYS,2510
CZE,AUT,439571200
CZE,CAN,1792
CZE,DNK,16588470
CZE,LVA,645898
CZE,VNM,36740
CZE,TUN,394
CZE,PAK,3840131
CZE,DZA,1346
FRA,CZE,406669
FRA,DEU,447791168
FRA,JPN,121185
FRA,KOR,2602304
FRA,ESP,1675052059
FRA,CHE,73259958
FRA,USA,380688
FRA,NLD,79486837
FRA,RUS,1555491
FRA,ARE,5803770
FRA,TUR,349175096
FRA,BRA,85205
FRA,CHN,19281087
FRA,HKG,5464601
FRA,ITA,688628571
FRA,NCL,36
FRA,ZAF,1896025
FRA,BEL,1842800372
FRA,IRL,54432
FRA,POL,3055784
FRA,ROM,108488
FRA,IND,42798204
FRA,SVK,410926
FRA,SWE,15564535
FRA,GBR,2611004
FRA,LKA,8000
FRA,MYS,269570
FRA,UKR,40230
FRA,AUT,1262530
FRA,BOL,5
FRA,CAN,16220
FRA,DNK,314625
FRA,EST,355020
FRA,FIN,888648
FRA,GEO,2000
FRA,LVA,910670
FRA,LUX,1231754508
FRA,MEX,13181
FRA,PRT,91810316
FRA,VNM,5099015
FRA,THA,883080
FRA,TUN,46971
FRA,MNE,7300
FRA,NAM,12000
FRA,IDN,332322
FRA,SGP,3748026
FRA,GRC,37667954
FRA,TTO,55
FRA,VUT,7960
FRA,PAK,17419000
FRA,PHL,189340
FRA,LBN,1
FRA,MDG,139570
FRA,DOM,42401
FRA,CMR,606
FRA,MAR,98373251
FRA,KWT,43000
FRA,MAC,48720
FRA,MUS,409605
FRA,CIV,68
FRA,DZA,83647
FRA,QAT,8134
FRA,SUR,1,00E+05
DEU,SRB,27401
DEU,CZE,14645885
DEU,FRA,894015915
DEU,JPN,587677
DEU,KOR,861360
DEU,ESP,315251300
DEU,CHE,306300993
DEU,USA,187693
DEU,KAZ,0
DEU,NLD,1978707238
DEU,RUS,9073
DEU,ARE,296387
DEU,TUR,594545033
DEU,BRA,8581
DEU,AUS,20586
DEU,CHN,32283625
DEU,HKG,3757968
DEU,ITA,1757212259
DEU,ZAF,107740
DEU,BEL,1369575933
DEU,BIH,159429
DEU,HRV,45405
DEU,HUN,1625926
DEU,IRL,7530
DEU,POL,41351427
DEU,ROM,149708
DEU,IND,209388204
DEU,SVK,2702014
DEU,SVN,121875247
DEU,SWE,58128313
DEU,GBR,19848004
DEU,MYS,7102205
DEU,SAU,3.7e+07
DEU,AZE,1460
DEU,AUT,476638700
DEU,BGR,126007
DEU,CAN,41000
DEU,COL,182433
DEU,DNK,41196551
DEU,FIN,156029788
