id;name;lon;lat
AFG;AFG;66,0867;33,8564
AGO;AGO;17,4706;-12,2459
ALB;ALB;20,0324;41,1414
ARE;ARE;54,2067;23,8686
ARG;ARG;-65,1754;-35,4468
ARM;ARM;45,0003;40,2166
ATA;ATA;20,571;-80,492
ATF;ATF;69,5316;-49,3065
AUS;AUS;134,5028;-25,7307
AUT;AUT;14,0762;47,6139
AZE;AZE;47,5539;40,2207
BDI;BDI;29,9139;-3,3774
BEL;BEL;4,5808;50,6524
BEN;BEN;2,3374;9,6474
BFA;BFA;-1,7765;12,3117
BGD;BGD;90,2679;23,8395
BGR;BGR;25,1951;42,7531
BHS;BHS;-77,93;25,5155
BIH;BIH;17,8169;44,1808
BLR;BLR;27,9814;53,5063
BLZ;BLZ;-88,7034;17,1971
BOL;BOL;-64,6414;-16,729
BRA;BRA;-53,0543;-10,8068
BRN;BRN;114,9151;4,6903
BTN;BTN;90,4724;27,428
BWA;BWA;23,7731;-22,0997
CAF;CAF;20,3743;6,5428
CAN;CAN;-98,1424;61,4691
CHE;CHE;8,1183;46,7917
CHL;CHL;-71,5206;-39,047
CHN;CHN;103,8829;36,5561
CIV;CIV;-5,612;7,5538
CMR;CMR;12,6116;5,6631
COD;COD;23,583;-2,8503
COG;COG;15,1345;-0,8378
COL;COL;-73,0777;3,9272
CRI;CRI;-84,1754;9,9657
CUB;CUB;-78,9607;21,6318
-99;-99;33,5583;35,274
CYP;CYP;33,0396;34,9071
CZE;CZE;15,3346;49,7752
DEU;DEU;10,2885;51,1337
DJI;DJI;42,498;11,773
DNK;DNK;9,8764;56,0639
DOM;DOM;-70,4624;18,8845
DZA;DZA;2,598;28,1855
ECU;ECU;-78,3842;-1,4548
EGY;EGY;29,8445;26,5066
ERI;ERI;38,6782;15,4273
EST;EST;25,8247;58,6437
ETH;ETH;39,5513;8,654
FIN;FIN;26,2118;64,5041
FJI;FJI;163,8532;-17,3163
FLK;FLK;-59,421;-51,7132
GAB;GAB;11,6878;-0,647
GBR;GBR;-2,8531;53,9148
GEO;GEO;43,4815;42,162
GHA;GHA;-1,237;7,9287
GIN;GIN;-11,0609;10,4483
GMB;GMB;-15,4319;13,4753
GNB;GNB;-15,1106;12,0227
GNQ;GNQ;10,366;1,6459
GRC;GRC;22,7198;39,0667
GRL;GRL;-41,5002;74,7705
GTM;GTM;-90,3695;15,6994
GUY;GUY;-58,9712;4,7902
HND;HND;-86,59;14,8229
HRV;HRV;16,5662;45,0162
HTI;HTI;-72,658;18,9007
HUN;HUN;19,3576;47,2
IDN;IDN;117,4234;-2,2217
IND;IND;79,5937;22,925
IRL;IRL;-8,0102;53,1806
IRN;IRN;54,2855;32,5189
IRQ;IRQ;43,7569;33,0368
ISL;ISL;-18,761;65,0743
ISR;ISR;35,0039;31,4849
JAM;JAM;-77,3243;18,1376
JOR;JOR;36,7795;31,2455
JPN;JPN;138,065;37,6631
KAZ;KAZ;67,2846;48,1917
KEN;KEN;37,7916;0,596
KGZ;KGZ;74,6204;41,5069
KHM;KHM;104,8761;12,6847
KOR;KOR;127,8213;36,4276
-99;-99;20,8954;42,5794
KWT;KWT;47,6001;29,3073
LAO;LAO;103,7503;18,445
LBN;LBN;35,871;33,9118
LBR;LBR;-9,4108;6,4316
LBY;LBY;17,9744;26,9975
LKA;LKA;80,6672;7,7005
LSO;LSO;28,1701;-29,6253
LTU;LTU;23,8806;55,2843
LUX;LUX;5,9652;49,7657
LVA;LVA;24,8333;56,8072
MAR;MAR;-8,4205;29,8854
MDA;MDA;28,4105;47,2037
MDG;MDG;46,6912;-19,3561
MEX;MEX;-102,5763;23,9354
MKD;MKD;21,6979;41,6059
MLI;MLI;-3,5433;17,2678
MMR;MMR;96,5058;21,017
MNE;MNE;19,2862;42,789
MNG;MNG;102,9464;46,8237
MOZ;MOZ;35,4726;-17,2304
MRT;MRT;-10,3264;20,2093
MWI;MWI;34,1936;-13,1728
MYS;MYS;109,7165;3,7331
NAM;NAM;17,1562;-22,0998
NCL;NCL;165,5345;-21,2614
NER;NER;9,3244;17,3456
NGA;NGA;7,9951;9,5483
NIC;NIC;-85,0203;12,8482
NLD;NLD;5,5122;52,2987
NOR;NOR;15,4681;69,1569
NPL;NPL;84,0132;28,2394
NZL;NZL;172,7019;-41,6626
OMN;OMN;56,0987;20,6112
PAK;PAK;69,414;29,9735
PAN;PAN;-80,1092;8,53
PER;PER;-74,3918;-9,1916
PHL;PHL;122,9027;11,7638
PNG;PNG;145,3176;-6,4516
POL;POL;19,311;52,1483
PRI;PRI;-66,4792;18,2372
PRK;PRK;127,165;40,143
PRT;PRT;-8,0558;39,634
PRY;PRY;-58,3874;-23,248
PSE;PSE;35,2733;31,9411
QAT;QAT;51,1835;25,3219
ROU;ROU;24,9433;45,8571
RUS;RUS;96,8752;61,9808
RWA;RWA;29,919;-2,0135
ESH;ESH;-12,1378;24,2912
SAU;SAU;44,5164;24,1233
SDN;SDN;29,8626;15,9906
SSD;SSD;30,1986;7,2929
SEN;SEN;-14,5098;14,3541
SLB;SLB;159,9666;-8,8525
SLE;SLE;-11,7953;8,5304
SLV;SLV;-88,8729;13,7261
-99;-99;46,2307;9,758
SOM;SOM;45,7267;4,7523
SRB;SRB;20,8197;44,233
SUR;SUR;-55,9115;4,12
SVK;SVK;19,5077;48,7267
SVN;SVN;14,9382;46,1254
SWE;SWE;16,5963;62,8115
SWZ;SWZ;31,3953;-26,4899
SYR;SYR;38,5442;35,0126
TCD;TCD;18,5813;15,3289
TGO;TGO;0,9964;8,4395
THA;THA;101,0061;15,017
TJK;TJK;71,0344;38,5831
TKM;TKM;59,2754;39,0912
TLS;TLS;125,9663;-8,7678
TTO;TTO;-61,3304;10,4282
TUN;TUN;9,5347;34,1729
TUR;TUR;35,1169;39,0684
TWN;TWN;120,9748;23,741
TZA;TZA;34,753;-6,2577
UGA;UGA;32,3575;1,2955
UKR;UKR;31,3695;48,973
URY;URY;-56,0033;-32,7809
USA;USA;-112,5994;45,7056
UZB;UZB;63,2036;41,7486
VEN;VEN;-66,1638;7,1621
VNM;VNM;106,2858;16,6579
VUT;VUT;167,0738;-15,5427
YEM;YEM;47,535;15,9132
ZAF;ZAF;25,048;-28,947
ZMB;ZMB;27,7276;-13,3951
ZWE;ZWE;29,7885;-18,907
HKG;HKG;114,1505;22,3855
SGP;SGP;103,823;1,3531
MAC;MAC;113,5066;22,1389
ATG;ATG;-61,7746;17,0662
ABW;ABW;-69,9691;12,5124
AND;AND;1,5614;42,4765
ESP;ESP;-3,6198;40,3476
ASM;ASM;-170,6716;-14,2883
AIA;AIA;-63,0615;18,2194
BHR;BHR;50,5548;26,0056
BRB;BRB;-59,5577;13,1801
BMU;BMU;-64,7517;32,3161
BES;BES;-68,2818;12,1842
BVT;BVT;3,412;-54,4216
IOT;IOT;72,4204;-7,3605
VBG;VBG;-64,5913;18,4289
CPV;CPV;-23,6314;15,0704
CYM;CYM;-81,2524;19,3176
CXR;CXR;105,6632;-10,4938
CCK;CCK;96,8714;-12,1712
COK;COK;-159,7879;-21,2203
COM;COM;43,3366;-11,6727
CUW;CUW;-68,9704;12,1933
DMA;DMA;-61,3542;15,4401
FRO;FRO;-6,8872;62,1569
PYF;PYF;-149,4226;-17,6697
FSM;FSM;158,2427;6,8842
GIB;GIB;-5,278;36,0254
GRD;GRD;-61,6777;12,1173
GLP;GLP;-61,5541;16,2346
GUM;GUM;144,7487;13,4181
HMD;HMD;73,5231;-53,0872
VAT;VAT;12,4534;41,9033
KIR;KIR;-157,364;1,8433
MDV;MDV;73,413;3,2592
MLT;MLT;14,4574;35,8821
MHL;MHL;166,8714;11,1559
MTQ;MTQ;-61,0131;14,6553
MUS;MUS;57,5708;-20,286
MYT;MYT;45,138;-12,822
MSR;MSR;-62,188;16,7386
MNP;MNP;145,8483;17,5877
NRU;NRU;166,9331;-0,5209
NFK;NFK;167,9547;-29,0365
PLW;PLW;134,583;7,5147
PCN;PCN;-128,3171;-24,3665
REU;REU;55,5477;-21,1313
SHN;SHN;-5,7167;-15,962
LCA;LCA;-60,9686;13,9002
SXM;SXM;-63,0611;18,0398
SPM;SPM;-56,3268;46,9463
VCT;VCT;-61,1943;13,2512
WSM;WSM;-172,4283;-13,645
SMR;SMR;12,4415;43,9349
STP;STP;6,6011;0,2309
SYC;SYC;55,4767;-4,6665
SGS;SGS;-36,6481;-54,364
TKL;TKL;-172,4888;-8,5637
TON;TON;-174,6458;-18,7991
TCA;TCA;-71,8346;21,8421
TUV;TUV;177,1508;-7,1942
UMI;UMI;-177,3749;28,2077
VIR;VIR;-64,7632;17,7377
WLF;WLF;-178,1311;-14,2869
ITA;ITA;12,1407;42,7509
FRA;FRA;2,4472;46,5387
GUF;GUF;-53,2385;3,9059
