idorigine;iddestination;decennie;volume
Aden;Australia;1910;2154
Aden;Australia;1920;443
Aden;Australia;1930;8399
Aden;Australia;1940;3112
Aden;Belgium;1890;156.88000000009885
Aden;Belgium;1900;2833.9199999997063
Aden;Belgium;1910;58095.52000004358
Aden;Belgium;1920;54918.95000002214
Aden;BritishSomalilandSomalilandRepublic;1910;2293475
Aden;BritishSomalilandSomalilandRepublic;1920;441523
Aden;BritishSomalilandSomalilandRepublic;1930;1389535
Aden;BritishSomalilandSomalilandRepublic;1940;1581000
Aden;Canada;1900;314.6570486910018
Aden;Canada;1920;7280.899286913204
Aden;Canada;1930;41910.488243624946
Aden;Canada;1940;9528.267014391751
Aden;CapeColony;1860;62.7015406664278
Aden;Denmark;1930;115358
Aden;DjiboutiAfarandIssasFrenchSomaliland;1930;1288000
Aden;DjiboutiAfarandIssasFrenchSomaliland;1940;2633000
Aden;EgyptUnitedArabRepublic;1930;683746
Aden;France;1930;1776562
Aden;France;1940;1414000
Aden;Germany;1930;161532
Aden;India;1850;97425
Aden;India;1860;4782485
Aden;India;1870;3055006
Aden;India;1880;1180058.102242829
Aden;India;1890;816535.9372325577
Aden;India;1900;916731.636829987
Aden;India;1910;472265.54296005366
Aden;India;1930;1484042
Aden;India;1940;2046000
Aden;Italy;1910;22304.32187036896
Aden;Italy;1920;71261.51352349858
Aden;Italy;1930;151878.5506432059
Aden;Italy;1940;129646.58606866474
Aden;KenyaBritishEastAfricaProtectorate;1930;207053
Aden;Norway;1930;193617
Aden;Singapore;1860;560.7510690930045
Aden;Somalia;1930;275944
Aden;SriLankaCeylon;1930;75360
Aden;StraitsSettlements;1930;74227
Aden;SudanAnglo-Egyptian;1930;110851
Aden;UnitedKingdom;1850;6199
Aden;UnitedKingdom;1860;36750
Aden;UnitedKingdom;1870;6707
Aden;UnitedKingdom;1880;1758583
Aden;UnitedKingdom;1890;2853446
Aden;UnitedKingdom;1930;1160259
Aden;UnitedKingdom;1940;759000
Aden;UnitedStatesofAmerica;1850;48010.58159680224
Aden;UnitedStatesofAmerica;1900;1775944.56773138
Aden;UnitedStatesofAmerica;1910;4186474.345006318
Aden;UnitedStatesofAmerica;1920;1072805.7749656849
Aden;UnitedStatesofAmerica;1930;3825182.995678968
Aden;UnitedStatesofAmerica;1940;1686136.693855121
Afghanistan;Algeria;1940;13.46297891094989
Afghanistan;Australia;1910;25
Afghanistan;Australia;1930;286
Afghanistan;Australia;1940;315
Afghanistan;Canada;1940;748.4169263242537
Afghanistan;IranPersia;1910;294260.6474104062
Afghanistan;IranPersia;1920;276371.76658820256
Afghanistan;IranPersia;1930;872819.1439101738
Afghanistan;IranPersia;1940;16997.4256001208
Afghanistan;Netherlands;1940;8760.398749480328
Afghanistan;RussiaUSSR;1910;2314984.177944257
