id,name,type,continent,lat,long,wikidata
Aden,Aden,country,Asia,12.8,45.033333333333,Q131694
Afghanistan,Afghanistan,country,Asia,34,66,Q889
Alaska,Alaska,country,America,64,-150,Q797
Albania,Albania,country,Europe,41,20,Q222
Aleppo,Aleppo,country,Asia,36.2,37.15,Q41183
Algeria,Algeria,country,Africa,28,1,Q262
AmericanSamoa,American Samoa,country,Oceania,-14.295833,-170.7075,Q16641
Ancona,Ancona,country,Europe,43.616666666667,13.516666666667,Q3415
AndamanandNicobarIs.,Andaman and Nicobar Is.,country,Asia,11.68,92.77,Q40888
Andorra,Andorra,country,Europe,42.558333333333,1.5552777777778,Q228
Angola,Angola,country,Africa,-12.35,17.35,Q916
Anjouan,Anjouan,country,Africa,-12.25,44.416666666667,Q231324
AntiguaandBarbuda,Antigua and Barbuda,country,America,17.116666666667,-61.85,Q781
Argentina,Argentina,country,America,-34,-64,Q414
Armenia,Armenia,country,Europe,40.383333,44.95,Q399
AscensionI.,Ascension I.,country,Atlantic,-7.9425,-14.368055555556,Q46197
AshmoreandCartierIs,Ashmore and Cartier Is,country,Oceania,-12.258333333333,123.04166666667,Q133888
Australia,Australia,country,Oceania,-28,137,Q408
Austria,Austria,country,Europe,48,14,Q40
Austria-Hungary,Austria-Hungary,country,Europe,48.2,16.35,Q28513
AzoresWesternIsles,Azores (Western Isles),country,Europe,38.5,-28,Q25263
Baden,Baden,country,Europe,49.01666667,8.4,Q6877935
Bahamas,Bahamas,country,America,23.7,-76.4,Q778
Bahrain,Bahrain,country,Asia,26.0675,50.551111,Q398
Bali,Bali,country,Asia,-8.335,115.08805555556,Q4648
BanjermassinDutchBorneo,Banjermassin (Dutch Borneo),country,Asia,-3.3333333333333,114.58333333333,Q14182
Barbados,Barbados,country,America,13.17,-59.5525,Q244
Bavaria,Bavaria,country,Europe,48.7775,11.431111111111,Q980
Belgium,Belgium,country,Europe,50.641111111111,4.6680555555556,Q31
BelizeBritishHonduras,Belize (British Honduras),country,America,17.066666666667,-88.7,Q242
BeninDahomey,Benin (Dahomey),country,Africa,8.8333333333333,2.1833333333333,Q962
Berbice,Berbice,country,America,6.23369,-57.543,Q675322
Bermuda,Bermuda,country,America,32.333333,-64.75,Q23635
Bokhara,Bokhara,country,Asia,39.774722222222,64.428611111111,Q746558
Bolivia,Bolivia,country,America,-17.056869611111,-64.991228611111,Q750
Bosnia,Bosnia,country,Europe,43.86666667,18.41666667,Q188736
